timestamp,RAM_Usage_In_Percentage,CPU_Usage_In_Percentage,DISK_Usage_In_Percantage
Fri 21 Jan 2022 13:49:58 +0000,57.0,5.7,13.4
Fri 21 Jan 2022 13:50:08 +0000,57.0,3.9,13.4
Fri 21 Jan 2022 13:50:18 +0000,57.0,8.8,13.4
Fri 21 Jan 2022 13:50:28 +0000,57.0,5.3,13.4
Fri 21 Jan 2022 13:50:38 +0000,57.0,6.0,13.4
Fri 21 Jan 2022 13:50:48 +0000,57.0,3.2,13.4
Fri 21 Jan 2022 13:50:58 +0000,57.0,3.2,13.4
Fri 21 Jan 2022 13:51:08 +0000,57.0,3.5,13.4
Fri 21 Jan 2022 13:51:18 +0000,57.1,3.9,13.4
Fri 21 Jan 2022 13:51:28 +0000,57.1,4.1,13.4
Fri 21 Jan 2022 13:51:38 +0000,57.1,7.3,13.4
Fri 21 Jan 2022 13:51:48 +0000,57.1,10.2,13.4
Fri 21 Jan 2022 13:51:58 +0000,57.1,4.9,13.4
Fri 21 Jan 2022 13:52:08 +0000,57.1,3.6,13.4
Fri 21 Jan 2022 13:52:18 +0000,57.1,3.2,13.4
Fri 21 Jan 2022 13:52:28 +0000,57.1,4.0,13.4
Fri 21 Jan 2022 13:52:38 +0000,57.1,5.2,13.4
Fri 21 Jan 2022 13:52:48 +0000,57.1,3.0,13.4
Fri 21 Jan 2022 13:52:58 +0000,57.1,3.1,13.4
Fri 21 Jan 2022 13:53:08 +0000,57.1,7.5,13.4
Fri 21 Jan 2022 13:53:18 +0000,57.1,5.0,13.4
Fri 21 Jan 2022 13:53:28 +0000,57.1,6.8,13.4
Fri 21 Jan 2022 13:53:38 +0000,56.9,14.7,13.4
Fri 21 Jan 2022 13:53:48 +0000,56.9,3.7,13.4
Fri 21 Jan 2022 13:53:58 +0000,56.9,3.7,13.4
Fri 21 Jan 2022 13:54:08 +0000,56.9,3.8,13.4
Fri 21 Jan 2022 13:54:18 +0000,56.9,4.0,13.4
Fri 21 Jan 2022 13:54:28 +0000,56.9,6.7,13.4
Fri 21 Jan 2022 13:54:38 +0000,56.9,11.6,13.4
Fri 21 Jan 2022 13:54:48 +0000,57.0,4.6,13.4
Fri 21 Jan 2022 13:54:58 +0000,57.0,4.2,13.4
Fri 21 Jan 2022 13:55:08 +0000,56.9,4.0,13.4
Fri 21 Jan 2022 13:55:18 +0000,56.9,5.4,13.4
Fri 21 Jan 2022 13:55:28 +0000,57.0,3.0,13.4
Fri 21 Jan 2022 13:55:38 +0000,57.0,5.3,13.4
Fri 21 Jan 2022 13:55:48 +0000,56.9,6.0,13.4
Fri 21 Jan 2022 13:55:58 +0000,57.0,8.0,13.4
Fri 21 Jan 2022 13:56:08 +0000,56.9,3.6,13.4
Fri 21 Jan 2022 13:56:18 +0000,56.9,4.0,13.4
Fri 21 Jan 2022 13:56:28 +0000,57.0,3.8,13.4
Fri 21 Jan 2022 13:56:38 +0000,57.0,5.2,13.4
Fri 21 Jan 2022 13:56:48 +0000,57.0,2.8,13.4
Fri 21 Jan 2022 13:56:58 +0000,57.0,3.7,13.4
Fri 21 Jan 2022 13:57:08 +0000,57.0,5.6,13.4
Fri 21 Jan 2022 13:57:18 +0000,57.0,7.4,13.4
Fri 21 Jan 2022 13:57:28 +0000,57.0,3.1,13.4
Fri 21 Jan 2022 13:57:38 +0000,57.0,5.8,13.4
Fri 21 Jan 2022 13:57:48 +0000,57.0,3.6,13.4
Fri 21 Jan 2022 13:57:58 +0000,57.0,4.0,13.4
Fri 21 Jan 2022 13:58:08 +0000,57.0,3.4,13.4
Fri 21 Jan 2022 13:58:18 +0000,57.0,3.8,13.4
Fri 21 Jan 2022 13:58:28 +0000,57.0,3.3,13.4
Fri 21 Jan 2022 13:58:38 +0000,57.0,14.6,13.4
Fri 21 Jan 2022 13:58:48 +0000,57.4,7.6,13.4
Fri 21 Jan 2022 13:58:58 +0000,57.0,7.5,13.4
Fri 21 Jan 2022 13:59:08 +0000,57.0,3.5,13.4
Fri 21 Jan 2022 13:59:18 +0000,57.0,2.9,13.4
Fri 21 Jan 2022 13:59:28 +0000,57.0,3.4,13.4
Fri 21 Jan 2022 13:59:38 +0000,57.0,10.3,13.4
Fri 21 Jan 2022 13:59:48 +0000,57.0,4.8,13.4
Fri 21 Jan 2022 13:59:58 +0000,57.0,8.4,13.4
Fri 21 Jan 2022 14:00:08 +0000,57.0,6.4,13.4
Fri 21 Jan 2022 14:00:18 +0000,57.0,3.7,13.4
Fri 21 Jan 2022 14:00:28 +0000,57.0,3.7,13.4
Fri 21 Jan 2022 14:00:39 +0000,57.0,5.0,13.4
Fri 21 Jan 2022 14:00:49 +0000,57.0,2.9,13.4
Fri 21 Jan 2022 14:00:59 +0000,57.0,4.2,13.4
Fri 21 Jan 2022 14:01:09 +0000,57.0,4.4,13.4
Fri 21 Jan 2022 14:01:19 +0000,57.0,6.5,13.4
Fri 21 Jan 2022 14:01:29 +0000,56.9,6.0,13.4
Fri 21 Jan 2022 14:01:39 +0000,56.9,6.0,13.4
Fri 21 Jan 2022 14:01:49 +0000,56.9,3.8,13.4
Fri 21 Jan 2022 14:01:59 +0000,56.9,3.7,13.4
Fri 21 Jan 2022 14:02:09 +0000,56.9,3.9,13.4
Fri 21 Jan 2022 14:02:19 +0000,56.9,3.7,13.4
Fri 21 Jan 2022 14:02:29 +0000,56.9,3.9,13.4
Fri 21 Jan 2022 14:02:39 +0000,57.0,6.6,13.4
Fri 21 Jan 2022 14:02:49 +0000,57.0,5.1,13.4
Fri 21 Jan 2022 14:02:59 +0000,57.0,7.3,13.4
Fri 21 Jan 2022 14:03:09 +0000,57.0,3.5,13.4
Fri 21 Jan 2022 14:03:19 +0000,57.0,3.0,13.4
Fri 21 Jan 2022 14:03:29 +0000,57.0,3.5,13.4
Fri 21 Jan 2022 14:03:39 +0000,57.0,6.4,13.4
Fri 21 Jan 2022 14:03:49 +0000,57.0,16.3,13.4
Fri 21 Jan 2022 14:03:59 +0000,57.0,3.5,13.4
Fri 21 Jan 2022 14:04:09 +0000,57.0,8.1,13.4
Fri 21 Jan 2022 14:04:19 +0000,57.0,6.1,13.4
Fri 21 Jan 2022 14:04:29 +0000,57.0,3.6,13.4
Fri 21 Jan 2022 14:04:39 +0000,57.0,10.2,13.4
Fri 21 Jan 2022 14:04:49 +0000,57.0,4.2,13.4
Fri 21 Jan 2022 14:04:59 +0000,57.0,4.1,13.4
Fri 21 Jan 2022 14:05:09 +0000,57.0,7.9,13.4
Fri 21 Jan 2022 14:05:19 +0000,57.0,4.8,13.4
Fri 21 Jan 2022 14:05:29 +0000,57.0,4.7,13.4
Fri 21 Jan 2022 14:05:39 +0000,57.0,7.3,13.4
Fri 21 Jan 2022 14:05:49 +0000,57.0,9.0,13.4
Fri 21 Jan 2022 14:05:59 +0000,57.0,3.7,13.4
Fri 21 Jan 2022 14:06:09 +0000,57.0,3.8,13.4
Fri 21 Jan 2022 14:06:19 +0000,57.0,10.6,13.4
Fri 21 Jan 2022 14:06:29 +0000,57.0,5.4,13.4
Fri 21 Jan 2022 14:06:39 +0000,57.0,5.9,13.4
Fri 21 Jan 2022 14:06:49 +0000,57.0,5.5,13.4
Fri 21 Jan 2022 14:06:59 +0000,57.0,7.0,13.4
Fri 21 Jan 2022 14:07:09 +0000,57.0,4.2,13.4
Fri 21 Jan 2022 14:07:19 +0000,57.0,3.2,13.4
Fri 21 Jan 2022 14:07:29 +0000,57.0,3.5,13.4
Fri 21 Jan 2022 14:07:39 +0000,57.0,5.3,13.4
Fri 21 Jan 2022 14:07:49 +0000,57.0,3.5,13.4
Fri 21 Jan 2022 14:07:59 +0000,57.0,3.3,13.4
Fri 21 Jan 2022 14:08:09 +0000,57.0,3.2,13.4
Fri 21 Jan 2022 14:08:19 +0000,57.0,6.2,13.4
Fri 21 Jan 2022 14:08:29 +0000,57.0,5.6,13.4
Fri 21 Jan 2022 14:08:39 +0000,57.0,5.3,13.4
Fri 21 Jan 2022 14:08:49 +0000,57.0,13.0,13.4
Fri 21 Jan 2022 14:08:59 +0000,57.0,3.0,13.4
Fri 21 Jan 2022 14:09:09 +0000,57.0,3.5,13.4
Fri 21 Jan 2022 14:09:19 +0000,57.0,2.8,13.4
Fri 21 Jan 2022 14:09:29 +0000,57.0,3.4,13.4
Fri 21 Jan 2022 14:09:39 +0000,57.0,14.2,13.4
Fri 21 Jan 2022 14:09:49 +0000,57.0,7.0,13.4
Fri 21 Jan 2022 14:09:59 +0000,56.9,4.6,13.4
Fri 21 Jan 2022 14:10:09 +0000,56.9,4.0,13.4
Fri 21 Jan 2022 14:10:19 +0000,56.9,4.2,13.4
Fri 21 Jan 2022 14:10:29 +0000,56.9,4.8,13.4
Fri 21 Jan 2022 14:10:39 +0000,56.9,5.1,13.4
Fri 21 Jan 2022 14:10:49 +0000,56.9,3.9,13.4
Fri 21 Jan 2022 14:10:59 +0000,56.9,6.7,13.4
Fri 21 Jan 2022 14:11:09 +0000,56.9,5.4,13.4
Fri 21 Jan 2022 14:11:19 +0000,56.9,3.1,13.4
Fri 21 Jan 2022 14:11:29 +0000,56.9,3.7,13.4
Fri 21 Jan 2022 14:11:39 +0000,56.9,6.0,13.4
Fri 21 Jan 2022 14:11:49 +0000,56.9,4.3,13.4
Fri 21 Jan 2022 14:11:59 +0000,56.9,3.9,13.4
Fri 21 Jan 2022 14:12:09 +0000,56.9,3.7,13.4
Fri 21 Jan 2022 14:12:19 +0000,56.9,2.8,13.4
Fri 21 Jan 2022 14:12:29 +0000,56.9,7.1,13.4
Fri 21 Jan 2022 14:12:39 +0000,56.9,10.2,13.4
Fri 21 Jan 2022 14:12:49 +0000,57.0,4.5,13.4
Fri 21 Jan 2022 14:12:59 +0000,57.0,3.6,13.4
Fri 21 Jan 2022 14:13:09 +0000,57.0,3.4,13.4
Fri 21 Jan 2022 14:13:19 +0000,57.0,3.1,13.4
Fri 21 Jan 2022 14:13:29 +0000,57.0,3.6,13.4
Fri 21 Jan 2022 14:13:39 +0000,57.0,4.7,13.4
Fri 21 Jan 2022 14:13:49 +0000,56.9,18.3,13.4
Fri 21 Jan 2022 14:13:59 +0000,56.9,4.0,13.4
Fri 21 Jan 2022 14:14:09 +0000,56.9,3.2,13.4
Fri 21 Jan 2022 14:14:19 +0000,56.9,2.7,13.4
Fri 21 Jan 2022 14:14:29 +0000,56.9,4.5,13.4
Fri 21 Jan 2022 14:14:39 +0000,56.9,10.0,13.4
Fri 21 Jan 2022 14:14:49 +0000,56.9,4.4,13.4
Fri 21 Jan 2022 14:14:59 +0000,56.9,3.8,13.4
Fri 21 Jan 2022 14:15:09 +0000,56.9,8.9,13.4
Fri 21 Jan 2022 14:15:19 +0000,56.9,5.6,13.4
Fri 21 Jan 2022 14:15:29 +0000,56.9,4.0,13.4
Fri 21 Jan 2022 14:15:39 +0000,56.7,4.8,13.4
Fri 21 Jan 2022 14:15:49 +0000,56.7,3.9,13.4
Fri 21 Jan 2022 14:15:59 +0000,56.7,3.3,13.4
Fri 21 Jan 2022 14:16:09 +0000,56.7,3.4,13.4
Fri 21 Jan 2022 14:16:19 +0000,56.7,3.1,13.4
Fri 21 Jan 2022 14:16:29 +0000,56.7,7.9,13.4
Fri 21 Jan 2022 14:16:39 +0000,56.7,8.3,13.4
Fri 21 Jan 2022 14:16:49 +0000,56.7,2.9,13.4
Fri 21 Jan 2022 14:16:59 +0000,56.7,3.6,13.4
Fri 21 Jan 2022 14:17:09 +0000,56.7,3.7,13.4
Fri 21 Jan 2022 14:17:19 +0000,56.7,3.2,13.4
Fri 21 Jan 2022 14:17:29 +0000,56.8,3.4,13.4
Fri 21 Jan 2022 14:17:39 +0000,56.9,4.8,13.4
Fri 21 Jan 2022 14:17:49 +0000,56.9,3.7,13.4
Fri 21 Jan 2022 14:17:59 +0000,56.9,7.7,13.4
Fri 21 Jan 2022 14:18:09 +0000,56.9,4.3,13.4
Fri 21 Jan 2022 14:18:19 +0000,56.9,2.9,13.4
Fri 21 Jan 2022 14:18:29 +0000,56.9,5.3,13.4
Fri 21 Jan 2022 14:18:39 +0000,56.9,4.8,13.4
Fri 21 Jan 2022 14:18:49 +0000,56.9,15.1,13.4
Fri 21 Jan 2022 14:18:59 +0000,57.3,8.5,13.4
Fri 21 Jan 2022 14:19:09 +0000,56.9,6.0,13.4
Fri 21 Jan 2022 14:19:19 +0000,56.9,5.3,13.4
Fri 21 Jan 2022 14:19:29 +0000,56.9,8.2,13.4
Fri 21 Jan 2022 14:19:39 +0000,56.9,12.6,13.4
Fri 21 Jan 2022 14:19:49 +0000,56.9,4.6,13.4
Fri 21 Jan 2022 14:19:59 +0000,56.9,4.4,13.4
Fri 21 Jan 2022 14:20:10 +0000,56.9,4.2,13.4
Fri 21 Jan 2022 14:20:20 +0000,56.9,4.0,13.4
Fri 21 Jan 2022 14:20:30 +0000,56.9,3.3,13.4
Fri 21 Jan 2022 14:20:40 +0000,56.9,9.3,13.4
Fri 21 Jan 2022 14:20:50 +0000,56.9,4.8,13.4
Fri 21 Jan 2022 14:21:00 +0000,56.9,3.3,13.4
Fri 21 Jan 2022 14:21:10 +0000,56.9,3.3,13.4
Fri 21 Jan 2022 14:21:20 +0000,56.9,3.9,13.4
Fri 21 Jan 2022 14:21:30 +0000,56.9,3.8,13.4
Fri 21 Jan 2022 14:21:40 +0000,56.9,4.8,13.4
Fri 21 Jan 2022 14:21:50 +0000,56.9,3.8,13.4
Fri 21 Jan 2022 14:22:00 +0000,56.9,9.8,13.4
Fri 21 Jan 2022 14:22:10 +0000,56.9,5.7,13.4
Fri 21 Jan 2022 14:22:20 +0000,56.9,3.1,13.4
Fri 21 Jan 2022 14:22:30 +0000,56.9,5.6,13.4
Fri 21 Jan 2022 14:22:40 +0000,56.9,6.4,13.4
Fri 21 Jan 2022 14:22:50 +0000,57.0,2.8,13.4
Fri 21 Jan 2022 14:23:00 +0000,57.0,3.1,13.4
Fri 21 Jan 2022 14:23:10 +0000,57.0,3.1,13.4
Fri 21 Jan 2022 14:23:20 +0000,57.0,3.1,13.4
Fri 21 Jan 2022 14:23:30 +0000,57.0,7.8,13.4
Fri 21 Jan 2022 14:23:40 +0000,57.0,6.0,13.4
Fri 21 Jan 2022 14:23:50 +0000,56.9,3.7,13.4
Fri 21 Jan 2022 14:24:00 +0000,56.9,13.1,13.4
Fri 21 Jan 2022 14:24:10 +0000,56.9,3.4,13.4
Fri 21 Jan 2022 14:24:20 +0000,56.9,2.9,13.4
Fri 21 Jan 2022 14:24:30 +0000,56.9,3.1,13.4
Fri 21 Jan 2022 14:24:40 +0000,56.9,11.0,13.4
Fri 21 Jan 2022 14:24:50 +0000,56.9,7.9,13.4
Fri 21 Jan 2022 14:25:00 +0000,56.9,6.5,13.4
Fri 21 Jan 2022 14:25:10 +0000,56.9,3.7,13.4
Fri 21 Jan 2022 14:25:20 +0000,56.9,5.7,13.4
Fri 21 Jan 2022 14:25:30 +0000,56.9,3.4,13.4
Fri 21 Jan 2022 14:25:40 +0000,56.9,4.7,13.4
Fri 21 Jan 2022 14:25:50 +0000,56.9,3.7,13.4
Fri 21 Jan 2022 14:26:00 +0000,56.9,3.7,13.4
Fri 21 Jan 2022 14:26:10 +0000,56.9,3.2,13.4
Fri 21 Jan 2022 14:26:20 +0000,56.9,4.6,13.4
Fri 21 Jan 2022 14:26:30 +0000,57.1,12.1,13.4
Fri 21 Jan 2022 14:26:40 +0000,57.1,4.9,13.4
Fri 21 Jan 2022 14:26:50 +0000,57.1,3.6,13.4
Fri 21 Jan 2022 14:27:00 +0000,57.1,4.2,13.4
Fri 21 Jan 2022 14:27:10 +0000,57.1,4.0,13.4
Fri 21 Jan 2022 14:27:20 +0000,57.1,6.5,13.4
Fri 21 Jan 2022 14:27:30 +0000,57.1,4.1,13.4
Fri 21 Jan 2022 14:27:40 +0000,57.1,8.8,13.4
Fri 21 Jan 2022 14:27:50 +0000,57.1,5.6,13.4
Fri 21 Jan 2022 14:28:00 +0000,57.1,3.1,13.4
Fri 21 Jan 2022 14:28:10 +0000,57.1,3.8,13.4
